Doc,tag,entities
"For Reference Purposes Only No. Name Minimum Recording Interval Minimum Recording Frequency Data Description 3a Time to the maximum recorded delta-V, longitudinal - - Means the time from time zero to the point where the maximum value of the cumulative change in velocity is found, as recorded by the EDR, along the X-axis.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'B-AXIS', 'I-AXIS', 'L-AXIS', 'O']","[(300, 303, 'ABBREV'), (315, 321, 'AXIS')]"
This data shall be used in combination with the MAXIMUM RECORDED LONGITUDINAL DELTA-V. 4b,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Clipping flag - - Indicates the point in time at which a sensor first reaches the maximum value of the specified range of that acceleration sensor.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
5 Vehicle velocity -5.0s to 0s relative to time zero,"['B-CARDINAL', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O']","[(19, 30, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
2Hz Wheel edge linear velocity or vehicle velocity acquired by other way.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"6 Service brake, on or off -5.0s","['B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PARAMETER']",[]
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
2Hz,['O'],[]
It is used to detect whether or not the brake pedal was pressed by the driver.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
7 status - - Means status of the drivers seatbelt buckle switch.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"8c,d Accelerator pedal position, percentage of fully open position -5.0s to 0s relative to time zero","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'B-CARDINAL']","[(67, 78, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
2Hz Means percentage of the actual position of the accelerator pedal relative to fully depressed input.,"['B-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"9d,e Revolution Per Minute (RPM)","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
-5.0s,['B-PARAMETER'],[]
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
2Hz Means the number of revolutions per minute of the main crankshaft of the vehicle's engine.,"['U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'PARAMETER')]"
10 Power-on cycle at event - - Means the number of power cycles in the ECU recording EDR data at the time of the event since the first use of the ECU recording EDR data.,"['B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'U-ABBREV', 'O', 'U-ABBREV', 'O', 'O']","[(71, 74, 'ABBREV'), (85, 88, 'ABBREV'), (146, 149, 'ABBREV'), (160, 163, 'ABBREV')]"
An example of a power cycle is when the ignition is switched from the OFF/Accessory mode to the ON/RUN mode.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MODE', 'I-MODE', 'L-MODE', 'O', 'O', 'O', 'B-MODE', 'I-MODE', 'L-MODE', 'O', 'O']","[(70, 83, 'MODE'), (96, 102, 'MODE')]"
11 Power-on cycle at reading - - Means the number of power cycles in the ECU recording EDR data at the time of the reading since the first use of the ECU recording EDR data.,"['B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'U-ABBREV', 'O', 'U-ABBREV', 'O', 'O']","[(73, 76, 'ABBREV'), (87, 90, 'ABBREV'), (150, 153, 'ABBREV'), (164, 167, 'ABBREV')]"
An example of a power cycle is when the ignition is switched from the OFF/Accessory mode to the ON/RUN mode.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MODE', 'I-MODE', 'L-MODE', 'O', 'O', 'O', 'B-MODE', 'I-MODE', 'L-MODE', 'O', 'O']","[(70, 83, 'MODE'), (96, 102, 'MODE')]"
12 Complete status of event data record - - Status indication of ECU whether event data is completely redorded and saved into ECU recording EDR data.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'U-ABBREV', 'O', 'O']","[(65, 68, 'ABBREV'), (126, 129, 'ABBREV'), (140, 143, 'ABBREV')]"
13 Time interval from this event to the last event -,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"- If two events occur within 5 seconds, this time is the time elapsed from the start of event X to the start of event X-1.","['O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'B-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(29, 38, 'PARAMETER')]"
14 Vehicle Identification Number (VIN),"['O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O']","[(34, 37, 'ABBREV')]"
Vehicle identification number (VIN) designated by the vehicle manufacturer.,"['O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(31, 34, 'ABBREV')]"
15 ECU hardware number that records EDR data,"['B-CARDINAL', 'U-ABBREV', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O']","[(3, 6, 'ABBREV'), (36, 39, 'ABBREV')]"
- - There may be more than one ECU that implements the EDR recording function in the vehicle.,"['O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'I-CARDINAL', 'I-CARDINAL', 'U-ABBREV', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O']","[(31, 34, 'ABBREV'), (55, 58, 'ABBREV')]"
16 ECU serial number that records EDR data,"['U-CARDINAL', 'U-ABBREV', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O']","[(0, 2, 'CARDINAL'), (3, 6, 'ABBREV'), (34, 37, 'ABBREV')]"
- - There may be more than one ECU that implements the EDR recording function in the vehicle.,"['O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'I-CARDINAL', 'L-CARDINAL', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O']","[(17, 30, 'CARDINAL'), (55, 58, 'ABBREV')]"
17 ECU software number that records EDR data,"['U-CARDINAL', 'U-ABBREV', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O']","[(0, 2, 'CARDINAL'), (3, 6, 'ABBREV'), (36, 39, 'ABBREV')]"
- - There may be more than one ECU that implements the EDR recording function in the vehicle.,"['O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'I-CARDINAL', 'L-CARDINAL', 'U-PARAMETER', 'O', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O']","[(17, 30, 'CARDINAL'), (31, 34, 'PARAMETER'), (55, 58, 'PARAMETER')]"
"a In case of longitudinal acceleration parameter in Table 3 recroded, longitudinal delta-V, maximum longitudinal delta-V and 13 For Reference Purposes Only No. Name Minimum Recording Interval Minimum Recording Frequency Data Description time to achieve","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TABLE', 'L-TABLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(52, 59, 'TABLE')]"
the maximum longitudinal delta-V is not required to record.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
b,['O'],[]
"In case of lateral or longitudinal acceleration parameter in Table 3 recroded, clipping flag parameter is not required to record.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TABLE', 'L-TABLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(61, 68, 'TABLE')]"
c,['O'],[]
"In case of engine throttle location parameter in Table 3 recroded, accelerator pedal position parameter is not required to record.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TABLE', 'L-TABLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(49, 56, 'TABLE')]"
d,['O'],[]
It is not required to make record for vehicle without airbag or Line K.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
e,['O'],[]
It is not required to make record for battery electric vehicle and plug-in hybrid vehicle.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Table 3 Level B,"['B-TABLE', 'L-TABLE', 'O', 'O']","[(0, 7, 'TABLE')]"
Data Element,"['O', 'O']",[]
No.,"['O', 'O']",[]
"Name Minimum Recording Interval Minimum Recording Frequency Data Description 1a, Longitudinal acceleration 0ms","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'B-PARAMETER']",[]
Means the component of the vector acceleration at a point on the vehicle in the X-axis direction.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AXIS', 'I-AXIS', 'L-AXIS', 'O', 'O']","[(80, 86, 'AXIS')]"
"2a,b Lateral acceleration 0ms to 250ms, relative to time zero (±5ms) or 0 to end of impact event time plus 30ms,","['B-CARDINAL', 'O', 'O', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PARAMETER', 'L-PARAMETER', 'O']","[(26, 38, 'PARAMETER'), (63, 67, 'PARAMETER'), (72, 73, 'PARAMETER'), (102, 111, 'PARAMETER')]"
whichever is shorter 500Hz,"['O', 'O', 'O', 'U-PARAMETER']","[(21, 26, 'PARAMETER')]"
Means the component of the vector acceleration at a point on the vehicle in the Y-axis direction.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AXIS', 'I-AXIS', 'L-AXIS', 'O', 'O']","[(80, 86, 'AXIS')]"
"3b Lateral delta-V 0ms to 250ms, relative to time zero (±5ms) or 0ms to end of impact event time plus 30ms, whichever is shorter 100Hz","['U-CARDINAL', 'O', 'O', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'B-PARAMETER', 'L-PARAMETER']","[(0, 2, 'CARDINAL'), (19, 31, 'PARAMETER'), (56, 60, 'PARAMETER'), (65, 68, 'PARAMETER'), (97, 106, 'PARAMETER'), (121, 134, 'PARAMETER')]"
Means the lateral delta-V of the vehicle lateral velocity is only the component of the total delta-V in the Y-axis direction.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AXIS', 'I-AXIS', 'L-AXIS', 'O', 'O']","[(108, 114, 'AXIS')]"
4b,['U-ORDINAL'],"[(0, 2, 'ORDINAL')]"
"Maximum recorded lateral delta-V - - Means the maximum value of the cumulative change in vehicle velocity, as recorded by the EDR, of the vehicle along the Y-axis.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBEV', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AXIS', 'I-AXIS', 'L-AXIS', 'O']","[(126, 129, 'ABBEV'), (156, 162, 'AXIS')]"
"This data shall be used in combination with TIME TO MAXIMUM DELTA-V, LATERAL.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
5b,['U-ORDINAL'],"[(0, 2, 'ORDINAL')]"
"The square of the maximum recorded resultant delta-V - - Means the square of time-correlated maximum value of the cumulative change in velocity, as recorded by the EDR or processed during data reading along the vector-added X-axis and Y-axis.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AXIS', 'I-AXIS', 'L-AXIS', 'O', 'B-AXIS', 'I-AXIS', 'L-AXIS', 'O']","[(164, 167, 'PARAMETER'), (224, 230, 'AXIS'), (235, 241, 'AXIS')]"
"6b Time to the maximum recorded delta-V, lateral - - Means the time from time zero to the point where the maximum value of the cumulative change in velocity is found, as recorded by the EDR, along the Y-axis.","['U-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBEV', 'O', 'O', 'O', 'B-AXIS', 'I-AXIS', 'L-AXIS', 'O']","[(0, 2, 'ORDINAL'), (186, 189, 'ABBEV'), (201, 207, 'AXIS')]"
"This data shall be used in combination with MAXIMUM RECORDED LATERAL DELTA-V. 7b Time to maximum recorded delta-V, resultant - - Means the time from time zero to the point where the maximum delta-V resultant occurs, as recorded by the EDR or processed during data reading.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'U-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBEV', 'O', 'O', 'O', 'O', 'O', 'O']","[(78, 80, 'ORDINAL'), (235, 238, 'ABBEV')]"
This data shall be used in combination with SQUARE OF THE MAXIMUM RECORDED RESULTANT DELTA-V. 8 Yaw angle velocity -5.0s to 0s relative to time zero,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O']","[(115, 126, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
2Hz Means change in angle of the vehicle about its Z-axis prior to and during an event.,"['U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AXIS', 'I-AXIS', 'L-AXIS', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'PARAMETER'), (51, 57, 'AXIS')]"
Apply for vehicle with ESC.,"['O', 'O', 'O', 'O', 'U-ABBEV', 'O']","[(23, 26, 'ABBEV')]"
9 Steering angle -5.0s to 0s relative to time zero,"['B-CARDINAL', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O']","[(17, 28, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
2Hz Means the angular position of the steering wheel where the value of zero (0º) indicates its neutral position (during the straight driving).,"['U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'PARAMETER'), (78, 80, 'PARAMETER')]"
A positive value indicates the steering wheel is turned anti-clockwise (i.e. left).,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Apply for vehicle with steering angle sensor.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
10,['B-CARDINAL'],[]
Tend - -,"['O', 'O', 'O']",[]
The time from the beginning of the event (T0) to event termination,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
", the record Tend is at disrection of manufacturer.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
11c,['U-ORDINAL'],"[(0, 3, 'ORDINAL')]"
Year - - Means that year when the event occurred is applicable to vehicles equipped with a satellite positioning system before leaving the factory.,"['O', 'O', 'O', 'O', 'B-TIME', 'L-TIME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(15, 24, 'TIME')]"
12c,['B-DATE'],[]
Month - - Means month when the event occurred.,"['B-TIME', 'L-TIME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 7, 'TIME')]"
13c,['O'],[]
Day - - Means day when the event occurred.,"['U-TIME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'TIME')]"
14 For Reference Purposes Only No. Name Minimum Recording Interval Minimum Recording Frequency Data Description 14d Hour - - Means hours portion of the time of the day when the event occurred.,"['B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'U-TIME', 'O', 'O', 'O', 'B-TIME', 'O', 'O', 'O', 'O', 'O', 'B-TIME', 'L-DATE', 'O', 'O', 'O', 'O', 'O']","[(116, 120, 'TIME'), (160, 167, 'DATE')]"
15c,['O'],[]
Minute - - Means minutes portion of the time of the day when the event occurred.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TIME', 'L-TIME', 'O', 'O', 'O', 'O', 'O']","[(48, 55, 'TIME')]"
16c,['B-CARDINAL'],[]
Sec - - Means seconds portion of the time of the day when the event occurred.,"['U-TIME', 'O', 'O', 'O', 'U-TIME', 'O', 'O', 'O', 'O', 'O', 'B-TIME', 'L-TIME', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'TIME'), (14, 21, 'TIME'), (45, 52, 'TIME')]"
17 Gear position -5.0s to 0s relative to time zero,"['B-CARDINAL', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O']","[(17, 28, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
18d,['U-ORDINAL'],"[(0, 3, 'ORDINAL')]"
"Engine throttle position, percentage of fully open position -5.0s to 0s relative to time zero","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O']","[(60, 71, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
2Hz,['U-PARAMETER'],"[(0, 3, 'PARAMETER')]"
The percentage of egine throttle opening.,"['O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
19 Brake pedal position -5.0s to 0s relative to time zero,"['U-ORDINAL', 'O', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O']","[(0, 2, 'ORDINAL'), (24, 35, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
2Hz Means actual position of brake pedal within the range from not depressed to fully-depressed.,"['U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'PARAMETER')]"
It is recommended that the automobile manufacturer explain in the EDR braking system may achieve 100% brake application when the brake pedal position is less than 100%.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'B-PERCENT', 'L-PERCENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERCENT', 'I-PERCENT', 'I-PERCENT', 'L-PERCENT', 'O']","[(66, 69, 'ABBREV'), (97, 101, 'PERCENT'), (153, 167, 'PERCENT')]"
It applies for vehicles with brake pedal position sensor.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
20 Parking system status -5.0s to 0s relative to time zero,"['U-ORDINAL', 'O', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O']","[(0, 2, 'ORDINAL'), (25, 36, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
"2Hz Used for detecting whether parking brake is activated or not, apply for vehicle of the bus for parking system status.","['U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'PARAMETER')]"
21 Braking priority identifictation -5.0s to 0s relative to time zero,"['U-ORDINAL', 'O', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O']","[(0, 2, 'ORDINAL'), (36, 47, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
"2Hz Priority when brake, accelerator pedals are pressed simultaneously, apply for vehicle with this identification.","['U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'PARAMETER')]"
22 Turn signal switch status On-off status of steering lamps -5.0s to 0s relative to time zero,"['U-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O']","[(0, 2, 'ORDINAL'), (61, 72, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
"2Hz Means on-off status of drivers intention of steering or changing lane, apply for vehicle of bus at steering lamp.","['U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'PARAMETER')]"
23 Driver's seat belt pretensioner deployment time,"['B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
- - Means the time from the beginning of the event (T0) to the driver's seat belt pretensioner deployment command.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
24 Driver's front airbag deployment time,"['B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O']",[]
(Phase I) - - Means the time from the beginning of the event (T0) to the phase I of driver's front airbag deployment command.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
25 Driver positive airbag,"['B-CARDINAL', 'O', 'O', 'O']",[]
deployment time (Phase II),"['O', 'O', 'O', 'O', 'O', 'O']",[]
- - Means the time from the beginning of the event (T0) to the phase II of driver's front airbag deployment command.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
26 Driver's side airbag,"['B-CARDINAL', 'B-ORG', 'I-ORG', 'O', 'O']",[]
deployment time - - Means the time from the beginning of the event (T0) to the driver's side airbag deployment command.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
27 Driver's side air curtain deployment time - - Means the time from the beginning of the event (T0) to the driver's side air curtain deployment command.,"['B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"28 Frontal-row pbelt status - - Means status of the frontal-row passenger's seat belt buckle switch, apply for vehicle with safety belt reminder device.","['B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
